SiteCode,SiteName,Latitude,Longitude,LocalAuthorityID,SiteClassification,HeadHeight,ToRoad,SiteLocationType,Indoor,SitePhotoURL,SiteDescription,SleepTime,BatteryStatus,BatteryPercentage,SignalStrength,SensorsHealthStatus,OverallStatus,DeviceCode,StartDate,EndDate,LastCommunication,InputPowerError,InputPowerCurrent,InputPowerVoltage,InputBatteryError,InputBatteryVoltage,ChargingStatus,SignalQuality,BatterySleepMultiplier,WeatherError,PMError,NO2Error,LatestINO2Value,LatestINO2Index,LatestINO2IndexSource,LatestIPM10Value,LatestIPM10NUMValue,LatestIPM1Value,LatestIPM1NUMValue,LatestIPM25Value,LatestIPM25Index,LatestIPM25IndexSource,LatestIPM25NUMValue,LatestRELHUMValue,LatestTEMPERATValue,SiteActive,SiteGroup,PowerTag,Enabled,OtherTags,OrganisationName,SponsorName,HourlyBulletinEnd
CLDP0307,elmhurst gardens,51.5963020324707,0.030450522899627686,,Urban Background,2.700000047683716,32.0,,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/25332ed634ec77e9d1c638ecf6f44e2f3003b0bfa8f598ee6096f476a81b2786,"This monitor was secured by Woodford Green resident Lydia Fraser-Ward to measure the levels of air pollutants in Elmhurst Gardens, E18. After spending two years visiting the park every day with her toddler, she became increasingly concerned about the air quality in the children’s playground and the effect it could be having on her son’s health. This area of the park backs onto the North Circular / A406 where it meets a major interchange with the M11 at the Charlie Brown’s Roundabout. After weeks of research she found that there were no air monitors provided by the local authority in the nearby vicinity, and that there was very limited data recorded specifically in parks and play areas relating to air pollution. Lydia joined clean air campaign group Mums for Lungs and reached out to a number of community groups, schools, environmental projects and parents in the local area to raise awareness about this issue. With their support she put together a short film to apply to the Breathe London Community Programme for this air quality node. The data will be used to inform whether further mitigation measures are needed to protect park and playground users from the motorway’s toxic air.",300.0,charging,80.0,4-excellent,OK,healthy,ARY39ZDQ,2022-03-22T10:42:37.717Z,,2023-11-15T09:15:53.013Z,0,5,17.25358772277832,0,3.728382110595703,2,31,1,0,0,0,,,,,,,,,,,,,,1,Community Programme Y1,Solar,Y,"Community Programme, Deployed, Mums for Lungs Redbridge, Redbridge, Solar300, V2",Mums for Lungs Redbridge,Bloomberg Philanthropies,Nov 15 2023 11:00AM
CLDP0308,porchester road,51.51791000366211,-0.18901200592517853,,Roadside,2.6600000858306885,0.30000001192092896,,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/6ac05a1b01f15e66ff630c3b07164fdf498a8e8587907cdba9fa101e0e6da540,"The location of the monitor (Porchester Road) was selected by the organiser as it is in the Bayswater Ward (where the resident’s association is located), close to a train station, busy road and the school the organiser is working in partnership with to raise awareness to children and the local community about air pollution. ",300.0,charging,85.0,4-excellent,OK,healthy,ADVX0D1W,2022-04-25T09:51:57.943Z,,2023-11-15T11:05:46.180Z,0,6,20.057170867919922,0,3.7728271484375,2,31,1,0,0,0,26.0,1.0,Measurement,,,,,5.0,1.0,Measurement,,,,1,Community Programme Y1,Solar,Y,"Clean Air Bayswater, Community Programme, Deployed, Solar300, V2, Westminster",Clean Air Bayswater,City of Westminster,Nov 15 2023 11:00AM
CLDP0309,lisson grove,51.52263641357422,-0.16541782021522522,,Roadside,5.599999904632568,0.5,School,0,,,300.0,,,,,,A49RVQ3L,2023-03-31T12:00:00.000Z,2023-10-03T00:00:00.000Z,,0,4,1.6837996244430542,0,4.132043361663818,7,26,1,0,0,0,,,,,,,,,,,,,,0,Westminster,Solar,Y,"Deployed, Replacement, Solar300, V2, ex Non GLA spare",City of Westminster,City of Westminster,Nov 15 2023 11:00AM
CLDP0310,marylebone high street,51.522003173828125,-0.15165899693965912,,Roadside,5.0,0.5,,0,,,300.0,,,,,,A25W9VTP,2022-03-22T06:29:21.593Z,2023-04-03T00:00:00.000Z,,0,3,1.2418228387832642,0,3.4301576614379883,7,31,4,0,0,0,,,,,,,,,,,,,,0,Westminster,Unknown,Y,"LG17, Solar300, V2, Westminster, Withdrawn",City of Westminster,City of Westminster,Nov 15 2023 11:00AM
CLDP0311,nutford place,51.516727447509766,-0.16376399993896484,,Roadside,5.0,0.5,,0,,,300.0,,,,,,A3XD4G3M,2022-03-22T06:20:03.360Z,2023-04-03T00:00:00.000Z,,0,1,3.591886043548584,0,3.403221368789673,7,31,4,0,0,0,,,,,,,,,,,,,,0,Westminster,Unknown,Y,"At WC, In Office, Solar300, V2, Westminster, Withdrawn",City of Westminster,City of Westminster,Nov 15 2023 11:00AM
CLDP0312,enford street,51.520320892333984,-0.1624229997396469,,Roadside,5.0,0.5,,0,,,300.0,,,,,,A6RW5RM2,2022-03-22T06:22:27.500Z,2023-04-03T00:00:00.000Z,,0,5,0.07091418653726578,0,3.5940849781036377,7,30,1,0,0,0,,,,,,,,,,,,,,0,Westminster,Unknown,Y,"LG17, Solar300, V2, Westminster, Withdrawn",City of Westminster,City of Westminster,Nov 15 2023 11:00AM
CLDP0313,rossmore road,51.52500534057617,-0.16462700068950653,,Roadside,5.0,0.5,,0,,,300.0,,,,,,AHSFF4P8,2022-03-22T06:24:27.650Z,2023-04-03T00:00:00.000Z,,0,2,0.031334176659584045,0,4.1212687492370605,7,31,1,0,0,0,,,,,,,,,,,,,,0,Westminster,Unknown,Y,"LG17, Solar300, V2, Westminster, Withdrawn",City of Westminster,City of Westminster,Nov 15 2023 11:00AM
CLDP0314,aybrook street,51.51870346069336,-0.15288880467414856,,Roadside,5.0,0.5,,0,,,300.0,,,,,,ATP66LMB,2022-03-22T06:28:24.093Z,2023-04-03T00:00:00.000Z,,0,1,2.9487109184265137,0,3.641223669052124,7,31,1,0,0,0,,,,,,,,,,,,,,0,Westminster,Unknown,Y,"In Office, Solar300, V2, Westminster, Withdrawn",City of Westminster,City of Westminster,Nov 15 2023 11:00AM
CLDP0315,denmark hill hospital,51.46900177001953,-0.09380000084638596,,Roadside,2.5999999046325684,9.0,Hospital,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/abd13317f11fdc56cc42106c5323de24151ada300ec2893cb337b1bdec0e42d9,"This location has been chosen as it is adjacent to one of the two entrance roads to the Denmark Hill hospital site.  
Data from an ANPR camera records at least 60,000 vehicles a month enter the hospital site by this road.  
Located nearby is the main entrance to the Golden Jubilee Hospital Wing which is also the main drop off area for patient transport vehicles.    
The monitor is also next to the hospital pavement used by staff and visitors and a pedestrian crossing.   
It is hoped that a monitor in this location will record the impact of the vehicle activity on the air quality of staff and patients that visit or work on the Denmark Hill site and lead to initiatives that bring about an improvement in air quality.  
",300.0,fully charged,99.0,4-excellent,OK,healthy,AG5R906F,2022-04-21T14:27:54.747Z,,2023-11-15T11:09:52.003Z,0,3,15.241602897644043,0,4.134544372558594,4,31,1,0,0,0,17.0,1.0,Measurement,,,,,6.0,1.0,Measurement,,,,1,South East London CCG,Mains,Y,"Deployed, King's NHS Trust, Lambeth, Mains300, V2",SE London Hospitals,NHS SE London CCG,Nov 15 2023 11:00AM
CLDP0316,a1203 - shadwell,51.509552001953125,-0.06012526527047157,,Roadside,2.700000047683716,0.5,,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/812d1245961392f686bdda795cbea63b1a744c6cb6553f1d80367e27d42fd07c,"The Node is located on a lampost on the A1203 (also known as 'The Highway') out the front of St George-in-the-East church in Shadwell. The location was chosen by Shadwell Responds, one of the groups in the Breathe London Community Programme. This is a busy arterial route from central London to the East. It is also a stretch of road used by local parents and children heading to school and the nearby swimming pool. Shadwell Responds and the local community have plans to develop a piazza to calm traffic and provide a safer and greener crossing area for pedestrians. The Node will help make the case for public realm improvements here.",300.0,charging,98.0,4-excellent,OK,healthy,A8FT4H8N,2022-04-27T11:10:52.693Z,,2023-11-15T10:35:33.850Z,0,8,17.156286239624023,0,4.083557605743408,2,31,1,0,0,0,41.0,1.0,Measurement,,,,,6.0,1.0,Measurement,,,,1,Community Programme Y1,Solar,Y,"Community Programme, Deployed, Solar300, St. George’s Neighborhood Action, Tower Hamlets, V2",Shadwell Responds,Bloomberg Philanthropies,Nov 15 2023 11:00AM
